idx,params_1,params_2,params_3,params_4,params_5,params_6,params_7,params_8,params_9,params_10,params_11,fitness_1,gen,test_rmse,val_rmse,train_rmse,avg,num_params,train_time,snip_values,test_scores,found_lr
0,23,11,19,23,22,8,3,5,7,2,1,0.0,0.0,18.595155715942383,19.170177459716797,21.736247472801516,20.453212466259156,746513,466.8001334667206,11765.835,1677.3938869086612,1e-05
1,18,6,7,10,13,16,12,4,1,3,2,0.0,0.0,18.354299545288086,18.469755172729492,23.255647077728227,20.86270112522886,458253,668.5744025707245,1895.4698,1950.8683490774465,1e-05
2,14,7,19,18,25,16,15,8,16,1,2,0.0,0.0,17.579225540161133,17.876916885375977,20.487496145002304,19.18220651518914,1054165,587.5819187164307,8448.082,1288.8355910241637,1e-05
3,12,6,10,7,17,17,8,5,14,2,3,0.0,0.0,18.464765548706055,19.064830780029297,21.591259489438272,20.328045134733784,720973,675.3968236446381,7774.339,1425.7205220331466,1e-05
4,20,21,7,20,24,18,3,10,4,3,2,0.0,0.0,16.08197021484375,16.810413360595703,19.545342079285653,18.17787771994068,1105233,1470.2861177921295,7039.4756,1196.6071748162344,1e-05
5,16,22,19,10,7,12,9,2,10,2,1,0.0,0.0,17.09334373474121,17.989599227905273,20.436892352334915,19.213245790120094,913465,544.3658180236816,9423.747,1365.2187339799596,1e-05
6,19,22,7,13,18,11,6,7,16,2,2,0.0,0.0,17.82445526123047,18.155061721801758,20.41227722424333,19.28366947302254,1648397,748.6282188892365,6923.3813,1257.2214327262272,1e-05
7,15,6,20,23,24,10,10,6,2,3,2,0.0,0.0,18.93466567993164,18.733436584472656,21.84853954189334,20.290988063183,785385,944.6907951831818,6592.0376,1751.3040531407146,1e-05
8,24,25,21,22,22,12,11,6,11,3,3,0.0,0.0,20.11282730102539,18.186019897460938,22.34482139054165,20.265420644001296,4277473,951.1147141456604,15684.236,1969.635300865894,1e-05
9,13,20,7,25,25,25,5,15,3,1,1,0.0,0.0,19.595239639282227,19.286273956298828,23.131177793242767,21.2087258747708,329565,438.4250626564026,1175.3838,1712.8411291514726,1e-05
10,16,10,17,11,25,25,2,15,7,3,3,0.0,0.0,17.831201553344727,18.890352249145508,22.08673786298521,20.48854505606536,1389661,1421.2772281169891,9274.904,1306.5118911044206,1e-05
